wavelength,M11,M12,M13,M14,M21,M22,M23,M24,M31,M32,M33,M34,M41,M42,M43,M44
700,1,-0.252256,0,0,-0.252256,1,0,0,0,0,0.17483,-0.951736,0,0,0.951736,0.17483
701,1,-0.247059,0,0,-0.247059,1,0,0,0,0,0.177873,-0.952535,0,0,0.952535,0.177873
702,1,-0.241819,0,0,-0.241819,1,0,0,0,0,0.180914,-0.953307,0,0,0.953307,0.180914
703,1,-0.236539,0,0,-0.236539,1,0,0,0,0,0.183956,-0.954049,0,0,0.954049,0.183956
704,1,-0.231219,0,0,-0.231219,1,0,0,0,0,0.187001,-0.954761,0,0,0.954761,0.187001
705,1,-0.225856,0,0,-0.225856,1,0,0,0,0,0.190044,-0.955444,0,0,0.955444,0.190044
706,1,-0.22045,0,0,-0.22045,1,0,0,0,0,0.193085,-0.956096,0,0,0.956096,0.193085
707,1,-0.215004,0,0,-0.215004,1,0,0,0,0,0.196129,-0.956717,0,0,0.956717,0.196129
708,1,-0.209516,0,0,-0.209516,1,0,0,0,0,0.199175,-0.957305,0,0,0.957305,0.199175
709,1,-0.203986,0,0,-0.203986,1,0,0,0,0,0.202221,-0.95786,0,0,0.95786,0.202221
710,1,-0.198412,0,0,-0.198412,1,0,0,0,0,0.205266,-0.958383,0,0,0.958383,0.205266
711,1,-0.192797,0,0,-0.192797,1,0,0,0,0,0.208313,-0.958872,0,0,0.958872,0.208313
712,1,-0.18714,0,0,-0.18714,1,0,0,0,0,0.211364,-0.959325,0,0,0.959325,0.211364
713,1,-0.181441,0,0,-0.181441,1,0,0,0,0,0.214415,-0.959742,0,0,0.959742,0.214415
714,1,-0.175697,0,0,-0.175697,1,0,0,0,0,0.217465,-0.960125,0,0,0.960125,0.217465
715,1,-0.169911,0,0,-0.169911,1,0,0,0,0,0.220519,-0.96047,0,0,0.96047,0.220519
716,1,-0.164084,0,0,-0.164084,1,0,0,0,0,0.223576,-0.960776,0,0,0.960776,0.223576
717,1,-0.158214,0,0,-0.158214,1,0,0,0,0,0.226635,-0.961044,0,0,0.961044,0.226635
718,1,-0.152299,0,0,-0.152299,1,0,0,0,0,0.229692,-0.961273,0,0,0.961273,0.229692
719,1,-0.146342,0,0,-0.146342,1,0,0,0,0,0.232753,-0.961462,0,0,0.961462,0.232753
720,1,-0.140343,0,0,-0.140343,1,0,0,0,0,0.235819,-0.96161,0,0,0.96161,0.235819
721,1,-0.134302,0,0,-0.134302,1,0,0,0,0,0.238887,-0.961715,0,0,0.961715,0.238887
722,1,-0.128216,0,0,-0.128216,1,0,0,0,0,0.241954,-0.961779,0,0,0.961779,0.241954
723,1,-0.122087,0,0,-0.122087,1,0,0,0,0,0.245025,-0.961799,0,0,0.961799,0.245025
724,1,-0.115917,0,0,-0.115917,1,0,0,0,0,0.2481,-0.961774,0,0,0.961774,0.2481
725,1,-0.109706,0,0,-0.109706,1,0,0,0,0,0.251179,-0.961703,0,0,0.961703,0.251179
726,1,-0.103449,0,0,-0.103449,1,0,0,0,0,0.254258,-0.961588,0,0,0.961588,0.254258
